student,grp,take_exam,social,gender,pretest,posttest,exam,Fi,CBi,Vi,MApi,PApi
user0336,G153,0,0, , , ,-1, , , , , 
user0339,G153,0,0, , , ,-1, , , , , 
user0260,G153,1,0, , , ,83, , , , , 
user0318,G153,1,0, ,0.09, ,78, , , , , 
user0340,G153,1,1, , , ,84, , , , , 
user0341,G153, ,1, , , , , , , , , 
user0287,G153,1,0,1,0.09, ,70,0.75,0.15,0.87,0.67,0.44
user0288,G153,0,0,1,0.09, ,-1,0.5,0.45,0.67,0.67,0.44
user0296,G153,0,0,1,0.18, ,-1,0.58,0.4,0.6,0.61,0.5
user0303,G153,0,0,1,0, ,-1,0,0.1,0.53,0.11,0.17
user0317,G153,0,0,1,0.45, ,-1,0.67,0.5,0.67,0.5,0.5
user0329,G153,0,0,1,0.18, ,-1,0.58,0.5,0.8,0.61,0.33
user0263,G153,1,0,1,0.09,0.09,50,0.67,0.55,0.53,0.56,0.61
user0311,G153,1,0,1,0.18,0.73,93,0.58,0.5,0.73,0.72,0.56
user0312,G153,1,0,1,0.09,0.82,66,0.33,0.5,0.6,0.5,0.5
user0330,G153,1,0,1,0.18, ,61,0.58,0.5,0.87,0.5,0.5
user0334,G153,1,0,1,0.18,0,34,0.33,0.5,0.53,0.39,0.61
user0335,G153,1,0,1,0.09,0.18,70,0.5,0.2,0.67,0.67,0.56
user0269,G153,1,0,1,0.27,0.36,62,0.33,0.65,0.53,0.44,0
user0308,G153,1,0,1,0.18,0.73,83,0.5,0.6,0.47,0.67,0.5
user0261,G153,1,0,1,1,0.73,100,0.58,0.55,0.73,0.83,0.56
user0301,G153,1,0,1,0.18,0.45,67,0.33,0.5,0.6,0.78,0.5
user0309,G153,1,0,0,0.09,0.36,82,0.58,0.55,0.4,0.78,0.44
user0297,G153,0,0,1,0.27, ,-1,0.25,0.65,0.67,0.61,0.72
user0306,G153,0,0,1,0.27, ,-1,0.58,0.5,0.8,0.61,0.72
user0321,G153,1,0,1,0.18, ,73,0.42,0.5,0,0.56,0.83
user0266,G153,1,0,1,0.09,0.36,85,0.58,0.65,0.8,0.61,0.83
user0267,G153,0,0,1,0.09, ,-1,0.75,0.7,0.73,0.83,0.83
user0291,G153,0,0,0,0, ,-1,0.58,0.25,0.67,0.83,0.89
user0307,G153,1,0,1,0.73, ,80,0.58,0.9,0.67,0.89,0.67
user0331,G153,0,0,1,0.36, ,-1,0.67,0.3,0.93,1,0.89
user0256,G153,1,0,1,0.09,0.73,68,0.58,0.7,0.6,0.83,0.78
user0258,G153,1,0,1,0.27,1,94,0.5,0.55,0.8,0.94,0.67
user0259,G153,1,0,1,0.82,0.91,90,1,0.75,1,0.83,0.83
user0314,G153,1,0,1,0.18,0.36,88,0.58,0.3,0.6,0.78,0.67
user0328,G153,1,0,1,0.27,0.91,81,0.58,0.9,0.6,0.83,0.67
user0283,G153,1,0,1,0.09,0.45,85,0.33,0.25,0.6,0.83,0.83
user0284,G153,1,0,1,0,0.45,96,0.58,0,0.67,0.89,0.83
